origin_id,destination_id,time
1,1,0
2,1,3
3,1,7
4,1,9
5,1,15
6,1,17
7,1,18
8,1,19
9,1,21
10,1,22
11,1,24
12,1,26
13,1,28
14,1,29
15,1,32
16,1,34
17,1,37
18,1,38
19,1,40
20,1,44
21,1,46
22,1,49
23,1,52
24,1,54
25,1,57
26,1,59
27,1,62
28,1,63
29,1,67
30,1,69
31,1,72
32,1,73
33,1,76
34,1,78
35,1,81
36,1,84
37,1,88
38,1,62
39,1,59
40,1,54
41,1,52
42,1,48
43,1,46
44,1,44
45,1,42
46,1,38
47,1,34
48,1,63
49,1,60
50,1,55
51,1,53
52,1,49
53,1,47
54,1,45
55,1,43
56,1,39
57,1,35
58,1,64
59,1,61
60,1,56
61,1,54
62,1,50
63,1,48
64,1,46
65,1,44
66,1,40
67,1,36
68,1,65
1,2,3
2,2,0
3,2,4
4,2,6
5,2,12
6,2,14
7,2,15
8,2,16
9,2,18
10,2,19
11,2,21
12,2,23
13,2,25
14,2,26
15,2,29
16,2,31
17,2,34
18,2,35
19,2,37
20,2,41
21,2,43
22,2,46
23,2,49
24,2,51
25,2,54
26,2,56
27,2,59
28,2,60
29,2,64
30,2,66
31,2,69
32,2,70
33,2,73
34,2,75
35,2,78
36,2,81
37,2,85
38,2,59
39,2,56
40,2,51
41,2,49
42,2,45
43,2,43
44,2,41
45,2,39
46,2,35
47,2,31
48,2,60
49,2,57
50,2,52
51,2,50
52,2,46
53,2,44
54,2,42
55,2,40
56,2,36
57,2,32
58,2,61
59,2,58
60,2,53
61,2,51
62,2,47
63,2,45
64,2,43
65,2,41
66,2,37
67,2,33
68,2,62
1,3,7
2,3,4
3,3,0
4,3,2
5,3,8
6,3,10
7,3,11
8,3,12
9,3,14
10,3,15
11,3,17
12,3,19
13,3,21
14,3,22
15,3,25
16,3,27
17,3,30
18,3,31
19,3,33
20,3,37
21,3,39
22,3,42
23,3,45
24,3,47
25,3,50
26,3,52
27,3,55
28,3,56
29,3,60
30,3,62
31,3,65
32,3,66
33,3,69
34,3,71
35,3,74
36,3,77
37,3,81
38,3,56
39,3,53
40,3,48
41,3,46
42,3,42
43,3,40
44,3,38
45,3,36
46,3,32
47,3,28
48,3,57
49,3,54
50,3,49
51,3,47
52,3,43
53,3,41
54,3,39
55,3,37
56,3,33
57,3,29
58,3,58
59,3,55
60,3,50
61,3,48
62,3,44
63,3,42
64,3,40
65,3,38
66,3,34
67,3,30
68,3,59
1,4,9
2,4,6
3,4,2
4,4,0
5,4,6
6,4,8
7,4,9
8,4,10
9,4,12
10,4,13
11,4,15
12,4,17
13,4,19
14,4,20
15,4,23
16,4,25
17,4,28
18,4,29
19,4,31
20,4,35
21,4,37
22,4,40
23,4,43
24,4,45
25,4,48
26,4,50
27,4,53
28,4,54
29,4,58
30,4,60
31,4,63
32,4,64
33,4,67
34,4,69
35,4,72
36,4,75
37,4,79
38,4,54
39,4,51
40,4,46
41,4,44
42,4,40
43,4,38
44,4,36
45,4,34
46,4,30
47,4,26
48,4,55
49,4,52
50,4,47
51,4,45
52,4,41
53,4,39
54,4,37
55,4,35
56,4,31
57,4,27
58,4,56
59,4,53
60,4,48
