id,station,Latitude,Longitude,Line
1,Gombak,3.2312176,101.7244253,KJL
2,Taman Melati,3.2195172,101.721876,KJL
3,Wangsa Maju,3.2057781,101.7318615,KJL
4,Sri Rampai,3.1992489,101.7372696,KJL
5,Setiawangsa,3.175727,101.7358818,KJL
6,Jelatek,3.1673333,101.7353159,KJL
7,Dato' Keramat,3.1650189,101.731853,KJL
8,Damai,3.1644733,101.7244083,KJL
9,Ampang Park,3.160062,101.7190053,KJL
10,KLCC,3.1592469,101.7133662,KJL
11,Kampung Baru,3.1613264,101.7065974,KJL
12,Dang Wangi,3.1568579,101.7019848,KJL
13,Masjid Jamek (KJL),3.1494965,101.696438,KJL
14,Pasar Seni (KJL),3.1424591,101.695307,KJL
15,KL Sentral (KJL),3.13404, 101.68638,KJL
16,Bangsar,3.1275597,101.6790602,KJL
17,Abdullah Hukum,3.1188319,101.6732377,KJL
18,Kerinchi,3.1154917,101.6684949,KJL
19,Universiti,3.1145395,101.6617007,KJL
20,Taman Jaya,3.1040469,101.6453136,KJL
21,Asia Jaya,3.1043547,101.6377344,KJL
22,Taman Paramount,3.1046855,101.6232073,KJL
23,Taman Bahagia,3.1106931,101.6127159,KJL
24,Kelana Jaya,3.1124539,101.6044979,KJL
25,Lembah Subang,3.1120749,101.5912052,KJL
26,Ara Damansara,3.1084172,101.5866485,KJL
27,Glenmarie,3.095944,101.590374,KJL
28,Subang Jaya,3.0845974,101.5873897,KJL
29,SS 15,3.075800,101.586100,KJL
30,SS 18,37.7509912,-122.4905561,KJL
31,USJ 7 (KJL),3.0549042,101.5921587,KJL
32,Taipan,3.0478391,101.5901533,KJL
33,Wawasan,3.0350524,101.5881042,KJL
34,USJ 21,3.0297334,101.5818089,KJL
35,Alam Megah,3.0229789,101.5721065,KJL
36,Subang Alam,3.0096034,101.5721182,KJL
37,Putra Heights (KJL),3.0104545,101.572038,KJL
38,Sungai Buloh,3.2062441,101.5799923,SBK
39,Kampung Selamat,3.197018,101.5783821,SBK
40,Kwasa Damansara,3.1763096,101.5724023,SBK
41,Kwasa Sentral,3.1698844,101.564867,SBK
42,Kota Damansara,3.1501911,101.5787337,SBK
43,Surian,3.1495977,101.59371,SBK
44,Mutiara Damansara,3.1551095,101.6088256,SBK
45,Bandar Utama,3.1468634,101.6186865,SBK
46,TTDI,3.1361413,101.6307373,SBK
47,Phileo Damansara,3.1291991,101.6429822,SBK
48,Pusat Bandar Damansara,3.1432978,101.6624268,SBK
49,Semantan,3.1509652,101.6653573,SBK
50,Muzium Negara,3.1371006,101.6873833,SBK
51,Pasar Seni (SBK),3.1423942,101.6962881,SBK
52,Merdeka,3.1429735,101.7021849,SBK
53,Bukit Bintang,3.1460953,101.7114762,SBK
54,Tun Razak Exchange (TRX),3.1424019,101.7201786,SBK
55,Cochrane,3.1324723,101.7230543,SBK
56,Maluri (SBK),3.1239931,101.7273169,SBK
57,Taman Pertama,3.1127246,101.7292803,SBK
58,Taman Midah,3.104286,101.7323396,SBK
59,Taman Mutiara,3.0912676,101.7403423,SBK
60,Taman Connaught,3.0791818,101.7451427,SBK
61,Taman Suntex,3.0717131,101.7633526,SBK
62,Sri Raya,3.0621864,101.7729875,SBK
63,Bandar Tun Hussein Onn,3.0486592,101.7750236,SBK
64,Batu 11 Cheras,3.0413007,101.773346,SBK
65,Bukit Dukung,3.0262651,101.7711478,SBK
66,Sungai Jernih,3.0008356,101.7841272,SBK
67,Stadium Kajang,2.9940513,101.7861974,SBK
68,Kajang,2.9826748,101.7905301,SBK
