origin_id,destination_id,fare
1,1,0.8
2,1,1.3
3,1,1.8
4,1,1.9
5,1,2.5
6,1,2.7
7,1,2.6
8,1,2.7
9,1,2.9
10,1,3.1
11,1,3.3
12,1,3.1
13,1,3.2
14,1,3.4
15,1,3.6
16,1,3.8
17,1,3.8
18,1,3.5
19,1,3.6
20,1,3.1
21,1,3.2
22,1,3.4
23,1,3.5
24,1,3.6
25,1,3.7
26,1,3.9
27,1,4.1
28,1,4.2
29,1,4.3
30,1,4.4
31,1,4.6
32,1,4.7
33,1,4.8
34,1,4.9
35,1,5.1
36,1,5.2
37,1,5.3
38,1,5.7
39,1,6.3
40,1,6.0
41,1,5.8
42,1,6.0
43,1,5.7
44,1,5.9
45,1,5.6
46,1,5.2
47,1,5.3
48,1,4.6
49,1,4.4
50,1,3.7
51,1,3.4
52,1,3.5
53,1,3.8
54,1,4.1
55,1,4.4
56,1,4.4
57,1,4.9
58,1,5.1
59,1,5.4
60,1,5.8
61,1,6.3
62,1,6.2
63,1,6.5
64,1,6.7
65,1,6.6
66,1,7.1
67,1,7.2
68,1,6.8
1,2,1.3
2,2,0.8
3,2,1.4
4,2,1.6
5,2,2.1
6,2,2.4
7,2,2.5
8,2,2.7
9,2,2.6
10,2,2.8
11,2,3.0
12,2,3.2
13,2,3.4
14,2,3.2
15,2,3.4
16,2,3.5
17,2,3.5
18,2,3.3
19,2,3.4
20,2,3.7
21,2,3.8
22,2,3.2
23,2,3.3
24,2,3.4
25,2,3.7
26,2,3.8
27,2,3.9
28,2,4.1
29,2,4.2
30,2,4.3
31,2,4.5
32,2,4.5
33,2,4.7
34,2,4.8
35,2,4.9
36,2,5.1
37,2,5.1
38,2,5.4
39,2,6.0
40,2,5.7
41,2,5.6
42,2,5.7
43,2,5.5
44,2,5.6
45,2,5.3
46,2,5.0
47,2,5.0
48,2,4.4
49,2,4.2
50,2,3.5
51,2,3.2
52,2,3.6
53,2,3.9
54,2,4.3
55,2,4.6
56,2,4.6
57,2,5.1
58,2,5.3
59,2,5.6
60,2,5.9
61,2,6.4
62,2,6.4
63,2,6.7
64,2,6.8
65,2,6.7
66,2,7.2
67,2,7.3
68,2,7.0
1,3,1.8
2,3,1.4
3,3,0.8
4,3,1.6
5,3,1.8
6,3,1.9
7,3,2.0
8,3,2.2
9,3,2.5
10,3,2.7
11,3,2.6
12,3,2.8
13,3,3.0
14,3,3.2
15,3,3.1
16,3,3.2
17,3,3.2
18,3,3.6
19,3,3.7
20,3,3.4
21,3,3.5
22,3,3.7
23,3,3.1
24,3,3.2
25,3,3.5
26,3,3.6
27,3,3.7
28,3,3.9
29,3,4.0
30,3,4.1
31,3,4.3
32,3,4.4
33,3,4.5
34,3,4.6
35,3,4.8
36,3,4.9
37,3,4.9
38,3,5.5
39,3,6.1
40,3,5.8
41,3,5.7
42,3,5.8
43,3,5.6
44,3,5.7
45,3,5.4
46,3,5.1
47,3,5.1
48,3,4.5
49,3,4.2
50,3,3.6
51,3,3.2
52,3,3.3
53,3,3.6
54,3,3.9
55,3,4.2
56,3,4.2
57,3,4.7
58,3,4.9
59,3,5.2
60,3,5.6
61,3,6.1
62,3,6.0
63,3,6.3
64,3,6.5
65,3,6.4
66,3,6.9
67,3,7.0
68,3,6.6
1,4,1.9
2,4,1.6
3,4,1.8
4,4,0.8
5,4,1.5
6,4,1.8
7,4,1.8
8,4,2.0
9,4,2.2
10,4,2.4
11,4,2.6
12,4,2.6
13,4,2.8
14,4,3.0
15,4,3.3
16,4,3.1
17,4,3.3
18,4,3.4
19,4,3.5
20,4,3.3
21,4,3.4
22,4,3.6
23,4,3.7
24,4,3.1
25,4,3.3
26,4,3.3
27,4,3.5
28,4,3.6
29,4,3.8
30,4,3.8
31,4,4.0
32,4,4.1
33,4,4.2
34,4,4.3
35,4,4.5
36,4,4.8
37,4,4.8
38,4,5.3
39,4,5.9
40,4,5.6
41,4,5.5
42,4,5.6
43,4,5.4
44,4,5.5
45,4,5.2
46,4,4.9
47,4,4.9
48,4,4.3
49,4,4.0
50,4,3.4
51,4,3.0
52,4,3.1
53,4,3.4
54,4,3.7
55,4,4.0
56,4,4.0
57,4,4.5
58,4,4.7
59,4,5.0
60,4,5.4
61,4,5.9
62,4,5.8
63,4,6.1
64,4,6.2
65,4,6.1
66,4,6.6
67,4,6.8
68,4,6.4
1,5,2.5
2,5,2.1
3,5,1.8
4,5,1.5
5,5,0.8
6,5,1.1
7,5,1.2
8,5,1.4
9,5,1.7
10,5,1.8
11,5,2.1
12,5,2.3
13,5,2.6
14,5,2.8
15,5,2.8
16,5,3.0
17,5,3.2
18,5,3.4
19,5,3.1
20,5,3.5
21,5,3.6
22,5,3.3
23,5,3.4
24,5,3.5
25,5,3.7
26,5,3.8
27,5,3.2
28,5,3.4
29,5,3.5
30,5,3.6
31,5,3.8
32,5,3.9
33,5,4.0
34,5,4.1
35,5,4.3
36,5,4.4
37,5,4.5
38,5,5.2
39,5,5.8
40,5,5.5
41,5,5.3
42,5,5.5
43,5,5.2
44,5,5.3
45,5,5.1
46,5,4.7
47,5,4.8
48,5,4.1
49,5,3.9
50,5,3.2
51,5,2.8
52,5,2.8
53,5,3.2
54,5,3.6
55,5,3.9
56,5,3.9
57,5,4.3
58,5,4.6
59,5,4.8
60,5,5.2
61,5,5.7
62,5,5.6
63,5,5.9
64,5,6.1
65,5,6.0
66,5,6.5
67,5,6.6
68,5,6.2
1,6,2.7
2,6,2.4
3,6,1.9
4,6,1.8
5,6,1.1
6,6,0.8
7,6,1.0
8,6,1.2
9,6,1.5
10,6,1.7
11,6,1.8
12,6,2.1
13,6,2.4
14,6,2.6
15,6,2.6
16,6,2.8
17,6,3.1
18,6,3.2
19,6,3.4
20,6,3.3
21,6,3.4
22,6,3.7
23,6,3.3
24,6,3.4
25,6,3.6
26,6,3.7
27,6,3.2
28,6,3.3
29,6,3.4
30,6,3.5
31,6,3.7
32,6,3.8
