id,station
1,Gombak
2,Taman Melati
3,Wangsa Maju
4,Sri Rampai
5,Setiawangsa
6,Jelatek
7,Dato' Keramat
8,Damai
9,Ampang Park
10,KLCC
11,Kampung Baru
12,Dang Wangi
13,Masjid Jamek (KJL)
14,Pasar Seni (KJL)
15,KL Sentral (KJL)
16,Bangsar
17,Abdullah Hukum
18,Kerinchi
19,Universiti
20,Taman Jaya
21,Asia Jaya
22,Taman Paramount
23,Taman Bahagia
24,Kelana Jaya
25,Lembah Subang
26,Ara Damansara
27,Glenmarie
28,Subang Jaya
29,SS 15
30,SS 18
31,USJ 7 (KJL)
32,Taipan
33,Wawasan
34,USJ 21
35,Alam Megah
36,Subang Alam
37,Putra Heights (KJL)
38,Sungai Buloh
39,Kampung Selamat
40,Kwasa Damansara
41,Kwasa Sentral
42,Kota Damansara
43,Surian
44,Mutiara Damansara
45,Bandar Utama
46,TTDI
47,Phileo Damansara
48,Pusat Bandar Damansara
49,Semantan
50,Muzium Negara
51,Pasar Seni (SBK)
52,Merdeka
53,Bukit Bintang
54,Tun Razak Exchange (TRX)
55,Cochrane
56,Maluri (SBK)
57,Taman Pertama
58,Taman Midah
59,Taman Mutiara
60,Taman Connaught
61,Taman Suntex
62,Sri Raya
63,Bandar Tun Hussein Onn
64,Batu 11 Cheras
65,Bukit Dukung
66,Sungai Jernih
67,Stadium Kajang
68,Kajang
