origin_station,destination,time
Gombak,Gombak,0
Taman Melati,Gombak,3
Wangsa Maju,Gombak,7
Sri Rampai,Gombak,9
Setiawangsa,Gombak,15
Jelatek,Gombak,17
Dato' Keramat,Gombak,18
Damai,Gombak,19
Ampang Park,Gombak,21
KLCC,Gombak,22
Kampung Baru,Gombak,24
Dang Wangi,Gombak,26
Masjid Jamek (KJL),Gombak,28
Pasar Seni (KJL),Gombak,29
KL Sentral (KJL),Gombak,32
Bangsar,Gombak,34
Abdullah Hukum,Gombak,37
Kerinchi,Gombak,38
Universiti,Gombak,40
Taman Jaya,Gombak,44
Asia Jaya,Gombak,46
Taman Paramount,Gombak,49
Taman Bahagia,Gombak,52
Kelana Jaya,Gombak,54
Lembah Subang,Gombak,57
Ara Damansara,Gombak,59
Glenmarie,Gombak,62
Subang Jaya,Gombak,63
SS 15,Gombak,67
SS 18,Gombak,69
USJ 7 (KJL),Gombak,72
Taipan,Gombak,73
Wawasan,Gombak,76
USJ 21,Gombak,78
Alam Megah,Gombak,81
Subang Alam,Gombak,84
Putra Heights (KJL),Gombak,88
Sungai Buloh,Gombak,62
Kampung Selamat,Gombak,59
Kwasa Damansara,Gombak,54
Kwasa Sentral,Gombak,52
Kota Damansara,Gombak,48
Surian,Gombak,46
Mutiara Damansara,Gombak,44
Bandar Utama,Gombak,42
TTDI,Gombak,38
Phileo Damansara,Gombak,34
Pusat Bandar Damansara,Gombak,63
Semantan,Gombak,60
Muzium Negara,Gombak,55
Pasar Seni (SBK),Gombak,53
Merdeka,Gombak,49
Bukit Bintang,Gombak,47
Tun Razak Exchange (TRX),Gombak,45
Cochrane,Gombak,43
Maluri (SBK),Gombak,39
Taman Pertama,Gombak,35
Taman Midah,Gombak,64
Taman Mutiara,Gombak,61
Taman Connaught,Gombak,56
Taman Suntex,Gombak,54
Sri Raya,Gombak,50
Bandar Tun Hussein Onn,Gombak,48
Batu 11 Cheras,Gombak,46
Bukit Dukung,Gombak,44
Sungai Jernih,Gombak,40
Stadium Kajang,Gombak,36
Kajang,Gombak,65
Gombak,Taman Melati,3
Taman Melati,Taman Melati,0
Wangsa Maju,Taman Melati,4
Sri Rampai,Taman Melati,6
Setiawangsa,Taman Melati,12
Jelatek,Taman Melati,14
Dato' Keramat,Taman Melati,15
Damai,Taman Melati,16
