id,station,Latitude,Longitude
1,Gombak,3.2312176,101.7244253
2,Taman Melati,3.2195172,101.721876
3,Wangsa Maju,3.2057781,101.7318615
4,Sri Rampai,3.1992489,101.7372696
5,Setiawangsa,3.175727,101.7358818
6,Jelatek,3.1673333,101.7353159
7,Dato' Keramat,3.1650189,101.731853
8,Damai,3.1644733,101.7244083
9,Ampang Park,3.160062,101.7190053
10,KLCC,3.1592469,101.7133662
11,Kampung Baru,3.1613264,101.7065974
12,Dang Wangi,3.1568579,101.7019848
13,Masjid Jamek (KJL),3.1494965,101.696438
14,Pasar Seni (KJL),3.1424591,101.695307
15,KL Sentral (KJL),3.13404, 101.68638
16,Bangsar,3.1275597,101.6790602
17,Abdullah Hukum,3.1188319,101.6732377
18,Kerinchi,3.1154917,101.6684949
19,Universiti,3.1145395,101.6617007
20,Taman Jaya,3.1040469,101.6453136
21,Asia Jaya,3.1043547,101.6377344
22,Taman Paramount,3.1046855,101.6232073
23,Taman Bahagia,3.1106931,101.6127159
24,Kelana Jaya,3.1124539,101.6044979
25,Lembah Subang,3.1120749,101.5912052
26,Ara Damansara,3.1084172,101.5866485
27,Glenmarie,3.095944,101.590374
28,Subang Jaya,3.0845974,101.5873897
29,SS 15,,
30,SS 18,37.7509912,-122.4905561
31,USJ 7 (KJL),3.0549042,101.5921587
32,Taipan,3.0478391,101.5901533
33,Wawasan,3.0350524,101.5881042
34,USJ 21,3.0297334,101.5818089
35,Alam Megah,3.0229789,101.5721065
36,Subang Alam,3.0096034,101.5721182
37,Putra Heights (KJL),3.0104545,101.572038
38,Sungai Buloh,3.2062441,101.5799923
39,Kampung Selamat,3.197018,101.5783821
40,Kwasa Damansara,3.1763096,101.5724023
41,Kwasa Sentral,3.1698844,101.564867
42,Kota Damansara,3.1501911,101.5787337
43,Surian,3.1495977,101.59371
44,Mutiara Damansara,3.1551095,101.6088256
45,Bandar Utama,3.1468634,101.6186865
46,TTDI,3.1361413,101.6307373
47,Phileo Damansara,3.1291991,101.6429822
48,Pusat Bandar Damansara,3.1432978,101.6624268
49,Semantan,3.1509652,101.6653573
50,Muzium Negara,3.1371006,101.6873833
51,Pasar Seni (SBK),3.1423942,101.6962881
52,Merdeka,3.1429735,101.7021849
53,Bukit Bintang,3.1460953,101.7114762
54,Tun Razak Exchange (TRX),3.1424019,101.7201786
55,Cochrane,3.1324723,101.7230543
56,Maluri (SBK),3.1239931,101.7273169
57,Taman Pertama,3.1127246,101.7292803
58,Taman Midah,3.104286,101.7323396
59,Taman Mutiara,3.0912676,101.7403423
60,Taman Connaught,3.0791818,101.7451427
61,Taman Suntex,3.0717131,101.7633526
62,Sri Raya,3.0621864,101.7729875
63,Bandar Tun Hussein Onn,3.0486592,101.7750236
64,Batu 11 Cheras,3.0413007,101.773346
65,Bukit Dukung,3.0262651,101.7711478
66,Sungai Jernih,3.0008356,101.7841272
67,Stadium Kajang,2.9940513,101.7861974
68,Kajang,2.9826748,101.7905301
